	Avg	Stdev																																								
"KERNEL=6, MODE=0"	85.2	0.2%	85.356	85.3928	85.5488	85.136	85.093	85.053	85.0542	85.2109	85.0859	85.3159	85.0798	85.144	85.105	85.1021	85.239	85.0859	84.947	85.1204	84.9473	85.1948	84.9929	85.2019	85.1011	84.9729	85.219	85.0669	85.0698	85.3679	85.3052	85.0579	85.345	85.5867	85.1631	85.2271	85.1077	85.335	85.2832	85.3491	85.0461	84.9558
"KERNEL=6, MODE=1"	85.2	0.3%	85.2981	85.1121	85.073	85.0288	85.3298	84.938	85.2859	85.1531	85.104	85.1689	85.137	85.1331	85.116	85.041	85.2671	85.0869	85.2202	85.314	85.053	84.9678	85.072	86.356	85.051	85.2939	85.0901	84.9929	85.186	85.0959	85.1541	85.3528	85.0618	85.2368	85.353	85.2139	84.978	85.0571	85.104	85.366	85.1719	85.0469
"KERNEL=6, MODE=2"	56.4	34.9%	70.519	70.6848	70.6343	70.646	70.595	70.7441	30.0742	29.825	29.9321	29.967	29.8777	29.8411	29.897	29.9351	29.8481	29.9822	29.8079	29.8279	29.834	30.27	70.553	70.5542	70.5959	70.4897	70.7217	70.6079	70.5918	70.6843	70.7029	70.677	70.677	70.5969	70.603	70.6521	70.5701	70.605	70.593	70.5852	70.6389	70.6506
"KERNEL=7, MODE=0"	12.5	30.0%	8.6521	8.47607	8.51685	8.45508	8.354	8.573	8.6001	8.83521	9.09521	8.89307	11.3062	10.2593	8.62305	8.3811	8.38672	8.53491	8.47314	8.60815	8.63501	8.73999	16.197	16.1108	16.4097	16.3843	16.134	16.1772	16.4221	16.2942	16.0398	15.9211	16.2739	16.0701	16.0178	16.5061	15.907	15.908	16.1257	15.9851	16.0498	16.1389
"KERNEL=7, MODE=1"	12.5	29.9%	8.59302	8.66895	8.53418	8.52588	8.64502	8.8418	8.72021	8.64502	8.4541	8.75	8.64282	8.58594	8.58618	8.46289	8.48804	8.53198	9.86108	9.82324	9.85107	9.71582	16.167	16.355	15.8811	16.259	16.2551	16.0479	16.324	16.0652	16.3391	16.4028	16.4141	16.2261	16.217	16.2197	16.2239	16.0999	16.1951	16.043	15.9351	16.2139
"KERNEL=7, MODE=2"	9.0	1.5%	9.01416	9.00903	9.00317	9.01025	8.98706	8.95996	9.00024	9.79395	8.94604	9.01514	8.97192	8.96997	8.96094	8.88477	8.91528	8.95508	9.02881	8.95923	9.05566	9.03198	8.88989	8.96606	9.06396	8.99902	8.98218	9.02881	8.93115	9.08716	9.06396	8.99976	9.08008	8.97095	9.0542	9.01489	9.06104	9.0061	9.10571	8.98828	9.01929	8.99097
"KERNEL=8, MODE=0"	14.1	1.9%	14.2522	14.0388	14.0442	14.0229	13.906	13.802	14.043	14.3459	14	14.344	14.0232	14.323	14.3689	13.844	14.3191	14.0332	14.2969	14.2483	14.2549	14.094	13.9761	14.1099	14.1621	14.1152	14.032	13.835	14.0261	14.304	13.905	14.1157	13.792	14.012	15.3879	13.9109	13.894	14.1443	13.8162	13.9739	14.0779	14.124
"KERNEL=8, MODE=1"	14.1	1.1%	14.3789	14.312	14.1221	14.0039	14.1299	13.9722	14.146	13.8149	13.7668	14.127	14.1182	14.1873	14.1919	14.0901	13.9812	14.365	14.1467	14.0098	13.959	13.7881	13.782	14.0737	13.9451	14.1831	13.9907	14.1028	13.9851	14.1431	14.1558	14.03	14.2249	13.968	14.2063	13.978	14.061	14.0901	14.125	14.3281	14.0032	13.887
"KERNEL=8, MODE=2"	9.1	5.6%	8.97461	9.05981	11.4968	11.0481	9.7561	9.08496	9.07202	9.06104	9.03198	8.9939	9.06812	8.95972	8.90918	9.03711	8.88818	9.05396	8.99707	9.02783	9.198	9.09204	9.00879	8.96997	8.95264	8.95508	8.93994	9.08105	9.03809	8.97974	9.06494	8.99927	9.04688	9.00464	8.99902	9.04395	8.99414	9.0647	9.06299	8.94922	8.95215	9.02808
"KERNEL=9, MODE=0"	24.4	1.6%	24.9761	24.314	24.4531	24.1338	24.0996	24.6921	24.5881	24.4238	24.52	24.6392	24.3179	24.4038	24.606	24.5762	24.293	24.4121	24.5649	24.8918	24.3162	23.9351	24.1648	24.3511	24.1831	24.0139	24.1099	25.1917	24.019	24.5212	24.168	25.2048	25.7139	24.0713	24.0139	24	24.4839	24.1516	24.1868	24.2031	24.0242	24.1863
